machine_id,start_time,end_time,production_counter,duration_sec,max_pressure,is_valid,is_test_run
2호기(창녕),2025-12-01T22:01:50.780000+00:00,2025-12-01T22:01:51.026000+00:00,,0.246,130.6,False,True
2호기(창녕),2025-12-01T22:01:51.790000+00:00,2025-12-01T22:01:52.163000+00:00,,0.373,130.6,False,True
2호기(창녕),2025-12-01T22:01:52.790000+00:00,2025-12-01T22:01:53.165000+00:00,,0.375,147.1,False,True
2호기(창녕),2025-12-01T22:01:53.780000+00:00,2025-12-01T22:01:54.187000+00:00,,0.407,150.9,False,True
2호기(창녕),2025-12-01T22:01:54.780000+00:00,2025-12-01T22:01:55.198000+00:00,,0.418,150.9,False,True
2호기(창녕),2025-12-01T22:01:55.790000+00:00,2025-12-01T22:01:56.199000+00:00,,0.409,149.7,False,True
2호기(창녕),2025-12-01T22:01:56.820000+00:00,2025-12-01T22:01:57.203000+00:00,,0.383,149.7,False,True
2호기(창녕),2025-12-01T22:01:57.820000+00:00,2025-12-01T22:01:58.109000+00:00,10.0,0.289,147.3,False,True
2호기(창녕),2025-12-01T22:01:58.820000+00:00,2025-12-01T22:01:59.154000+00:00,10.0,0.334,147.3,False,True
2호기(창녕),2025-12-01T22:01:59.830000+00:00,2025-12-01T22:02:00.157000+00:00,10.0,0.327,144.8,False,True
2호기(창녕),2025-12-01T22:02:00.800000+00:00,2025-12-01T22:02:01.158000+00:00,10.0,0.358,142.4,False,True
2호기(창녕),2025-12-01T22:02:01.800000+00:00,2025-12-01T22:02:02.260000+00:00,,0.46,142.4,False,True
2호기(창녕),2025-12-01T22:02:02.810000+00:00,2025-12-01T22:02:03.272000+00:00,,0.462,140.1,False,True
2호기(창녕),2025-12-01T22:02:03.800000+00:00,2025-12-01T22:02:04.276000+00:00,,0.476,140.1,False,True
2호기(창녕),2025-12-01T22:02:04.790000+00:00,2025-12-01T22:02:05.282000+00:00,,0.492,138.0,False,True
2호기(창녕),2025-12-01T22:02:05.820000+00:00,2025-12-01T22:02:06.291000+00:00,,0.471,136.6,False,True
2호기(창녕),2025-12-01T22:02:06.800000+00:00,2025-12-01T22:02:07.295000+00:00,,0.495,136.6,False,True
2호기(창녕),2025-12-01T22:02:07.820000+00:00,2025-12-01T22:02:08.087000+00:00,,0.267,134.9,False,True
2호기(창녕),2025-12-01T22:02:08.820000+00:00,2025-12-01T22:02:09.101000+00:00,,0.281,134.9,False,True
2호기(창녕),2025-12-01T22:02:09.820000+00:00,2025-12-01T22:02:10.104000+00:00,,0.284,133.0,False,True
2호기(창녕),2025-12-01T22:02:10.800000+00:00,2025-12-01T22:02:11.022000+00:00,,0.222,133.0,False,True
2호기(창녕),2025-12-01T22:02:11.820000+00:00,2025-12-01T22:02:12.047000+00:00,10.0,0.227,131.1,False,True
2호기(창녕),2025-12-01T22:02:12.830000+00:00,2025-12-01T22:02:13.058000+00:00,10.0,0.228,129.3,False,True
2호기(창녕),2025-12-01T22:02:13.830000+00:00,2025-12-01T22:02:14.161000+00:00,,0.331,129.3,False,True
2호기(창녕),2025-12-01T22:02:14.830000+00:00,2025-12-01T22:02:15.184000+00:00,,0.354,127.6,False,True
2호기(창녕),2025-12-01T22:02:15.810000+00:00,2025-12-01T22:02:16.206000+00:00,,0.396,127.6,False,True
2호기(창녕),2025-12-01T22:02:16.820000+00:00,2025-12-01T22:02:17.111000+00:00,10.0,0.291,126.0,False,True
2호기(창녕),2025-12-01T22:02:17.820000+00:00,2025-12-01T22:02:18.116000+00:00,10.0,0.296,126.0,False,True
2호기(창녕),2025-12-01T22:02:18.810000+00:00,2025-12-01T22:02:19.127000+00:00,10.0,0.317,124.6,False,True
2호기(창녕),2025-12-01T22:02:19.850000+00:00,2025-12-01T22:02:20.134000+00:00,10.0,0.284,123.2,False,True
2호기(창녕),2025-12-01T22:02:20.820000+00:00,2025-12-01T22:02:21.149000+00:00,10.0,0.329,123.2,False,True
2호기(창녕),2025-12-01T22:02:21.860000+00:00,2025-12-01T22:02:22.281000+00:00,,0.421,121.9,False,True
2호기(창녕),2025-12-01T22:02:22.860000+00:00,2025-12-01T22:02:23.289000+00:00,,0.429,121.9,False,True
2호기(창녕),2025-12-01T22:02:23.860000+00:00,2025-12-01T22:02:24.297000+00:00,,0.437,120.6,False,True
2호기(창녕),2025-12-01T22:02:24.870000+00:00,2025-12-01T22:02:25.298000+00:00,,0.428,120.6,False,True
2호기(창녕),2025-12-01T22:02:25.890000+00:00,2025-12-01T22:02:26.073000+00:00,,0.183,119.3,False,True
2호기(창녕),2025-12-01T22:02:26.900000+00:00,2025-12-01T22:02:27.090000+00:00,,0.19,118.2,False,True
